Species,Animal,Plant,Fungi
Abeomelomys spMW,0.000252557,0.907025298,0.092722145
Anisomys imitatorFR,0.001708027,0.618295747,0.379996226
Anisomys imitatorMW,0,0.94535809,0.05464191
Coccymys shawmayeri,0.005619621,0.967622869,0.02675751
Hydromys sp,0.519488595,0.463050021,0.017461383
Hyomys goliath,0,0.962823425,0.037176575
Leptomys ernstmayri,0.08403636,0.45874783,0.45721581
Lorentzimys highFR,0.001899156,0.859857945,0.138242899
Lorentzimys highMW,0.010164494,0.613176492,0.376659014
Lorentzimys lowFR,0.005481408,0.847334534,0.147184057
Lorentzimys lowMW,0,0.910236357,0.089763643
Lorentzimys midMW,0.004459749,0.24191788,0.75362237
Macruromys major,0,0.998464233,0.001535767
Mallomys cf_aroaensis,0.001541284,0.899131498,0.099327217
Mallomys hercules,0,0.975679851,0.024320149
Mallomys istapantap,0.004682628,0.966429986,0.028887386
Mallomys rothschildi,8.84E-05,0.982214615,0.017697016
Melomys low,0.045804019,0.74480853,0.20938745
Melomys midFR,0.017592482,0.535850917,0.4465566
Microhydromys sp,0.635535524,0.334565883,0.029898592
Paramelomys platyopsBAI,0,0.826873385,0.173126615
Paramelomys platyopsFR,0.005775563,0.698037679,0.296186757
Paramelomys platyopsMW,0.003228731,0.910541886,0.086229383
Paramelomys platyopsWG,0.039645123,0.811182068,0.14917281
Paramelomys rubex_HighFR,0.041002344,0.797679266,0.16131839
Paramelomys rubex_HighMW,0.0147656,0.519540036,0.465694364
Paramelomys rubex_MidFR,0.037026793,0.793247548,0.16972566
Paramelomys rubex_MidMW,0.062635597,0.866528821,0.070835582
Pogonomys cf_sylvestris,0.008932415,0.953902999,0.037164586
Pogonomys loriae,0,0.934278833,0.065721167
Pogonomys spNorthEastFR,0.004557422,0.896506453,0.098936125
Pogonomys spNorthEastMW,0.002990593,0.966280301,0.030729106
Protochromys fellowsi,0,0.007281483,0.992718517
Pseudohydromys ellermani,0.489516852,0.380378218,0.13010493
Pseudohydromys fuscus,0.387637149,0.55532899,0.057033861
Rattus exulans,0.007766903,0.822146063,0.170087034
Rattus niobe,0.087044328,0.424992712,0.48796296
Rattus norvegicus,0,0.69476906,0.30523094
Rattus rattus,0.00088729,0.823228869,0.175883841
Rattus steini,0.144894834,0.579541939,0.275563227
Rattus verecundus,0.017376466,0.136290621,0.846332913
Uromys anak,0,0.978218731,0.021781269
Uromys cf_caudimaculatus,0.093130543,0.558180099,0.348689358
Uromys sp1,0.011625765,0.498489203,0.489885032
